Account,Description,Gl_Class,BusinessName,OrderType,BU,StockType
64118,"Phí phúc lợi công cộng của NV",NS01,TRD,OP,3000,"Non-Stock"
64118,"Phí phúc lợi công cộng của NV",NS01,TRD,OR,3000,"Non-Stock"
64118,"Phí phúc lợi công cộng của NV",NS01,HEV,O7,1000,"Non-Stock"
64118,"Phí phúc lợi công cộng của NV",NS01,HEV,HR,1000,"Non-Stock"
64118,"Phí phúc lợi công cộng của NV",NS01,LVM,O2,5000,"Non-Stock"
64118,"Phí phúc lợi công cộng của NV",NS01,LVM,LR,5000,"Non-Stock"
64119,"Phí huấn luyện đào tạo của NV",NS02,TRD,OP,3000,"Non-Stock"
64119,"Phí huấn luyện đào tạo của NV",NS02,TRD,OR,3000,"Non-Stock"
64119,"Phí huấn luyện đào tạo của NV",NS02,HEV,O7,1000,"Non-Stock"
64119,"Phí huấn luyện đào tạo của NV",NS02,HEV,HR,1000,"Non-Stock"
64119,"Phí huấn luyện đào tạo của NV",NS02,LVM,O2,5000,"Non-Stock"
64119,"Phí huấn luyện đào tạo của NV",NS02,LVM,LR,5000,"Non-Stock"
64120,"Vật liệu nhỏ",NS03,TRD,OP,3000,"Non-Stock"
64120,"Vật liệu nhỏ",NS03,TRD,OR,3000,"Non-Stock"
64120,"Vật liệu nhỏ",NS03,HEV,O7,1000,"Non-Stock"
64120,"Vật liệu nhỏ",NS03,HEV,HR,1000,"Non-Stock"
64120,"Vật liệu nhỏ",NS03,LVM,O2,5000,"Non-Stock"
64120,"Vật liệu nhỏ",NS03,LVM,LR,5000,"Non-Stock"
64121,"Công cụ dụng cụ nhỏ thay thế",NS04,TRD,OP,3000,"Non-Stock"
64121,"Công cụ dụng cụ nhỏ thay thế",NS04,TRD,OR,3000,"Non-Stock"
64121,"Công cụ dụng cụ nhỏ thay thế",NS04,HEV,O7,1000,"Non-Stock"
64121,"Công cụ dụng cụ nhỏ thay thế",NS04,HEV,HR,1000,"Non-Stock"
64121,"Công cụ dụng cụ nhỏ thay thế",NS04,LVM,O2,5000,"Non-Stock"
64121,"Công cụ dụng cụ nhỏ thay thế",NS04,LVM,LR,5000,"Non-Stock"
64122,"Phí dụng cụ nhỏ tiêu hao",NS05,TRD,OP,3000,"Non-Stock"
64122,"Phí dụng cụ nhỏ tiêu hao",NS05,TRD,OR,3000,"Non-Stock"
64122,"Phí dụng cụ nhỏ tiêu hao",NS05,HEV,O7,1000,"Non-Stock"
64122,"Phí dụng cụ nhỏ tiêu hao",NS05,HEV,HR,1000,"Non-Stock"
64122,"Phí dụng cụ nhỏ tiêu hao",NS05,LVM,O2,5000,"Non-Stock"
64122,"Phí dụng cụ nhỏ tiêu hao",NS05,LVM,LR,5000,"Non-Stock"
64124,"Phí dự phòng",NS06,TRD,OP,3000,"Non-Stock"
64124,"Phí dự phòng",NS06,TRD,OR,3000,"Non-Stock"
64124,"Phí dự phòng",NS06,HEV,O7,1000,"Non-Stock"
64124,"Phí dự phòng",NS06,HEV,HR,1000,"Non-Stock"
64124,"Phí dự phòng",NS06,LVM,O2,5000,"Non-Stock"
64124,"Phí dự phòng",NS06,LVM,LR,5000,"Non-Stock"
64130,"Thuế quan",NS07,TRD,OP,3000,"Non-Stock"
64130,"Thuế quan",NS07,TRD,OR,3000,"Non-Stock"
64130,"Thuế quan",NS07,HEV,O7,1000,"Non-Stock"
64130,"Thuế quan",NS07,HEV,HR,1000,"Non-Stock"
64130,"Thuế quan",NS07,LVM,O2,5000,"Non-Stock"
64130,"Thuế quan",NS07,LVM,LR,5000,"Non-Stock"
64150,"Phí tuyển mộ",NS08,TRD,OP,3000,"Non-Stock"
64150,"Phí tuyển mộ",NS08,TRD,OR,3000,"Non-Stock"
